flight_id,drone_model,state,district,use_case,date,flight_duration_min,distance_covered_km,area_covered_acres,weather_condition,wind_speed_kmh,mission_success,incidents
FL001,Agri-Hawk 10L,Maharashtra,Nashik,Crop Spraying,2024-01-15,22,3.5,18,Clear,8,Yes,None
FL002,Agri-Hawk 10L,Punjab,Ludhiana,Crop Spraying,2024-01-20,18,2.8,15,Partly Cloudy,12,Yes,None
FL003,Kisan Drone,Karnataka,Belgaum,Fertilizer Spreading,2024-02-05,14,2.0,10,Clear,5,Yes,None
FL004,Mavic 3 Enterprise,Delhi,South Delhi,Infrastructure Inspection,2024-02-10,35,8.0,0,Clear,10,Yes,None
FL005,M300 RTK,Rajasthan,Jodhpur,Mining Survey,2024-02-15,45,12.0,50,Clear,15,Yes,None
FL006,Agri-Hawk 16L,Telangana,Warangal,Crop Spraying,2024-03-01,17,3.0,20,Overcast,18,Yes,Minor drift due to wind
FL007,Switch 1.0,Gujarat,Kutch,Border Surveillance,2024-03-10,80,45.0,0,Clear,12,Yes,None
FL008,Ninja UAV,Jammu,Samba,Border Patrol,2024-03-15,25,8.0,0,Foggy,5,No,Forced landing due to visibility
FL009,Phantom 4 RTK,Maharashtra,Pune,Land Survey,2024-04-01,28,5.5,35,Clear,8,Yes,None
FL010,Agras T30,Punjab,Bathinda,Crop Spraying,2024-04-10,12,2.5,25,Clear,10,Yes,None
FL011,TSAW Vahan,Karnataka,Bangalore Urban,Medical Delivery,2024-04-20,20,15.0,0,Clear,6,Yes,None
FL012,Agri-Hawk 10L,UP,Lucknow,Crop Monitoring,2024-05-01,20,4.0,22,Partly Cloudy,14,Yes,None
FL013,Skylark Lite,Karnataka,Bangalore,Urban Mapping,2024-05-10,30,6.0,15,Clear,8,Yes,None
FL014,Mini 3 Pro,Maharashtra,Mumbai,Wedding Photography,2024-06-01,25,1.5,0,Clear,5,Yes,None
FL015,Dhaksha Unmanned,Tamil Nadu,Chennai,Military Exercise,2024-06-15,55,30.0,0,Clear,20,Yes,None
FL016,Agri-Hawk 10L,MP,Indore,Crop Spraying,2024-07-01,19,3.2,16,Overcast,22,No,Return to home due to high wind
FL017,Aarav X5,Telangana,Hyderabad,Precision Agriculture,2024-07-15,16,3.0,12,Partly Cloudy,10,Yes,None
FL018,ePlane E200,Tamil Nadu,Chennai,Cargo Delivery Test,2024-08-01,40,25.0,0,Clear,8,Yes,None
FL019,M300 RTK,Jharkhand,Dhanbad,Mining Volume Survey,2024-08-15,50,10.0,40,Clear,7,Yes,None
FL020,Agri-Hawk 10L,Maharashtra,Nagpur,Crop Spraying,2024-09-01,21,3.8,19,Clear,11,Yes,None
