flight_id,drone_model,operator_id,date,state,district,use_case,battery_start_pct,battery_end_pct,flight_duration_min,distance_covered_km,max_altitude_m,avg_speed_kmh,payload_kg,area_covered_acres,weather_condition,wind_speed_kmh,temperature_celsius,incidents,mission_success
F0001,Garuda Kisan,OP_AP_001,2024-01-05,Andhra Pradesh,Krishna,pesticide_spraying,98,22,28,4.2,15,48,12.0,22,clear,8,24,none,Yes
F0002,DJI Agras T40,OP_PB_001,2024-01-06,Punjab,Ludhiana,pesticide_spraying,100,18,25,3.8,12,54,35.0,28,clear,12,18,none,Yes
F0003,ideaForge SWITCH,OP_RJ_001,2024-01-07,Rajasthan,Jaipur,surveillance,95,45,42,12.5,80,95,0.25,0,hazy,5,22,none,Yes
F0004,DJI Mavic 3E,OP_MH_001,2024-01-08,Maharashtra,Nashik,crop_monitoring,100,55,38,8.2,100,65,0.3,45,clear,10,26,none,Yes
F0005,Asteria A200,OP_KA_001,2024-01-09,Karnataka,Bangalore,power_line_inspection,92,38,35,15.2,80,78,0.2,0,partly_cloudy,14,20,none,Yes
F0006,Garuda Kisan,OP_AP_001,2024-01-10,Andhra Pradesh,Guntur,pesticide_spraying,99,20,27,4.0,14,46,12.0,21,clear,6,26,none,Yes
F0007,DJI Agras T10,OP_HR_001,2024-01-11,Haryana,Karnal,seed_sowing,100,25,22,3.5,10,42,8.0,18,windy,22,15,early_landing_wind,No
F0008,Marut AG365,OP_TG_001,2024-01-12,Telangana,Warangal,pesticide_spraying,97,21,26,3.9,13,44,18.0,20,clear,8,28,none,Yes
F0009,IoTechWorld Agridrone,OP_UP_001,2024-01-13,Uttar Pradesh,Lucknow,crop_monitoring,100,60,32,6.5,90,58,0.0,38,foggy,4,14,reduced_visibility,Yes
F0010,DJI Phantom 4 RTK,OP_GJ_001,2024-01-14,Gujarat,Surat,construction_survey,95,42,40,10.8,100,72,0.0,0,clear,10,25,none,Yes
F0011,Throttle TA15,OP_AP_002,2024-01-15,Andhra Pradesh,Krishna,pesticide_spraying,100,22,24,3.6,12,45,10.0,20,clear,7,25,none,Yes
F0012,ideaForge NETRA V4,OP_MH_002,2024-01-16,Maharashtra,Mumbai,event_security,98,48,44,8.5,75,65,0.1,0,clear,12,30,none,Yes
F0013,Skye Air Delivery,OP_MH_003,2024-01-17,Maharashtra,Pune,medical_delivery,100,35,28,6.2,80,68,2.4,0,clear,8,24,none,Yes
F0014,DJI Mavic 3E,OP_TN_001,2024-01-18,Tamil Nadu,Chennai,bridge_inspection,94,52,38,9.8,85,72,0.3,0,clear,15,32,none,Yes
F0015,General Aeronautics Mavis,OP_KA_002,2024-01-19,Karnataka,Mysore,pesticide_spraying,100,19,28,4.3,14,42,14.0,24,clear,6,24,none,Yes
F0016,Redwing Kitty,OP_KA_003,2024-01-20,Karnataka,Belgaum,seed_sowing,99,24,24,3.6,11,40,9.0,18,partly_cloudy,9,22,none,Yes
F0017,DJI Agras T40,OP_PB_002,2024-01-21,Punjab,Amritsar,pesticide_spraying,100,15,26,4.0,12,52,38.0,30,clear,10,16,none,Yes
F0018,Skylark Survey Drone,OP_JH_001,2024-01-22,Jharkhand,Dhanbad,mine_survey,95,40,45,12.5,95,75,0.0,0,hazy,8,20,none,Yes
F0019,DJI Mavic 3E,OP_RJ_002,2024-01-23,Rajasthan,Jodhpur,solar_inspection,96,50,38,9.2,100,68,0.3,0,clear,14,28,none,Yes
F0020,TechEagle VTOL,OP_MG_001,2024-01-24,Meghalaya,Shillong,medical_delivery,100,38,32,18.5,120,75,1.4,0,rainy,18,16,slight_delay_rain,Yes
F0021,Garuda Kisan,OP_AP_001,2024-01-25,Andhra Pradesh,Krishna,pesticide_spraying,98,21,27,4.1,15,46,12.0,22,clear,9,26,none,Yes
F0022,ideaForge SWITCH,OP_MH_004,2024-01-26,Maharashtra,Nagpur,surveillance,96,44,44,13.2,85,92,0.25,0,clear,10,22,none,Yes
F0023,DJI Agras T10,OP_AP_003,2024-01-27,Andhra Pradesh,Nellore,pesticide_spraying,100,23,22,3.4,11,44,9.0,19,clear,6,28,none,Yes
F0024,Asteria A200,OP_KA_001,2024-01-28,Karnataka,Bangalore,telecom_inspection,93,40,35,14.8,82,76,0.2,0,clear,12,21,none,Yes
F0025,DJI Phantom 4 RTK,OP_MH_005,2024-01-29,Maharashtra,Pune,real_estate_survey,97,45,40,11.2,100,70,0.0,0,partly_cloudy,11,24,none,Yes
